"Country","HDI","HDICategory","Age","Gender","HaveKids","Ed.Level","WorkStatus","Income","Occupation","YearsAtJob","MonthsAtJob","Community","MaritalStat","Sons","Daughters","BdWstTime","BdDelayAct","BdMustAct","BdDelayMake","BdPutOff","GdPayBills","GdPunctual","GdPrepared","BdRunLate","BdCmpltTm","GdWantGrow","BdFamView","GdTmToSpare","BdDeadline","BdTmMngmt","GdDocApt","GdMorePunct","GdMaint","BdXpctLate","BdCostMoney","BdLateStart","BdMissTckts","GdPartyPln","GdEasyWake","BdSlowMail","GdRtnCalls","BdWrkr","GdDecisive","BdWrkDelay","BdAirport","GdSocial","BdDeadline.1","GdSMLBill","GdRSVP","GdTask","BdBdayGFT","BdEsntlItem","GdCmplteDay","BdDoTmrow","GdEvngTasks","GdIdealLIfe","GdExclLife","GdSatisLife","GdImprtThs","GdChangeNil","SelfView","ExtView","DPMean","AIPMean","GPMean","SWLSMean"
"United Kingdom","0.909","Very high human development",23,"Male","No Kids","ma","student",10000,"",0,7,"Village","Single",0,0,4,5,4,4,4,4,3,4,4,4,4,5,5,4,5,5,5,5,1,5,5,5,5,3,5,4,5,3,5,4,3,5,4,4,5,3,5,5,5,5,2,2,3,2,1,"yes","yes",4.2,4.2,4.35,2
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","phd","student",10000,NA,2,6,"Small Town","Single",0,0,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,4,1,2,1,1,4,1,1,1,2,1,1,3,1,1,3,3,3,3,2,"no","no",1,1.6,1.55,2.8
"United Kingdom","0.909","Very high human development",55,"Female","Yes Kids","deg","part-time",NA,"Manager",4,0,"Medium-Sized","Divorced",0,1,5,5,5,5,5,5,1,4,4,5,5,4,5,5,4,4,3,4,3,5,5,2,5,5,5,5,5,4,5,5,3,5,4,5,5,5,4,5,5,5,2,3,2,3,2,"yes","yes",5,4.06666666666667,4.6,2.4
"United Kingdom","0.909","Very high human development",21,"Male","No Kids","dip","student",10000,"Unemployed",1,5,"Village","Single",0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,1,1,1,1,1,"yes","yes",5,5,4.7,1
"United Kingdom","0.909","Very high human development",24,"Male","No Kids","ma","student",10000,NA,0,0,"Large-City","Single",0,0,4,4,4,4,4,1,3,4,4,4,4,5,4,4,5,2,3,2,2,4,5,2,2,5,2,2,3,4,5,4,2,5,1,2,5,4,3,4,3,4,3,3,2,4,4,"yes","yes",4,3.4,3.3,3.2
"United Kingdom","0.909","Very high human development",55,"Female","Yes Kids","high","full-time",15000,"",0,6,"Medium-Sized","Separated",1,0,4,3,3,3,3,1,4,4,5,4,3,3,3,3,5,2,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,2,3,4,5,5,4,4,3,2,2,2,2,2,"yes","no",3.2,3.46666666666667,3.7,2
"United Kingdom","0.909","Very high human development",25,"Male","No Kids","deg","full-time",67500,"",4,0,"Small Town","Single",0,0,4,4,4,2,2,2,1,2,4,2,4,4,3,2,3,5,4,2,3,4,4,2,3,4,3,2,3,3,4,2,2,5,2,4,3,2,2,4,5,5,4,4,3,3,2,"yes","no",3.2,3,3.05,3.2
"United Kingdom","0.909","Very high human development",25,"Female","No Kids","ma","full-time",35000,"Architect",0,8,"Medium-Sized","Single",0,0,4,4,4,4,4,3,4,4,4,4,2,2,3,3,5,3,4,4,4,4,4,2,2,4,4,3,4,4,5,3,3,5,4,4,4,5,5,4,4,4,3,4,3,4,3,"yes","no",4,3.53333333333333,3.75,3.4
"United Kingdom","0.909","Very high human development",32.5,"Male","No Kids","deg","full-time",87500,"Analyst",3,2,"Large-City","Single",0,0,4,5,3,3,4,2,2,2,3,3,4,2,3,2,4,5,2,3,3,5,3,3,2,5,2,3,4,3,4,3,4,4,3,4,4,4,4,5,4,4,1,1,1,1,1,"yes","no",3.8,3,3.5,1
"United Kingdom","0.909","Very high human development",37.5,"Male","No Kids","ltuni","full-time",55000,"Web Designer",10,0,"Large Town","Single",0,0,4,5,4,3,3,1,1,2,2,4,3,3,3,2,2,1,1,2,2,2,4,1,2,3,4,2,5,3,5,1,3,5,2,3,4,3,4,4,2,5,3,3,3,3,1,"yes","no",3.8,2.06666666666667,3.1,2.6
"United Kingdom","0.909","Very high human development",28,"Male","No Kids","deg","full-time",25000,"",2,6,"Rural/Country","Single",0,0,4,4,4,2,2,1,1,3,2,4,2,2,3,4,3,3,2,1,3,5,4,2,2,4,5,1,5,3,4,2,3,4,2,3,4,4,5,4,4,4,2,3,3,2,2,"yes","no",3.2,2.6,3.45,2.4
"United Kingdom","0.909","Very high human development",55,"Male","Yes Kids","ma","part-time",10000,"",12,0,"Large Town","Married",1,1,2,1,2,1,1,1,1,4,1,1,2,1,3,2,2,4,2,2,1,2,2,2,2,1,1,2,2,3,2,1,2,3,4,4,2,2,2,2,2,3,3,4,4,4,2,"yes","no",1.4,1.93333333333333,2.15,3.4
"United Kingdom","0.909","Very high human development",37.5,"Male","Yes Kids","ma","full-time",150000,"",5,0,"Small Town","Married",0,1,5,2,2,1,1,1,2,1,4,4,3,4,4,2,4,2,4,1,5,3,3,1,2,5,1,2,2,2,3,3,5,3,2,2,3,2,2,5,5,5,4,5,4,5,5,"yes","yes",2.2,2.93333333333333,2.85,4.6
"United Kingdom","0.909","Very high human development",55,"Female","Yes Kids","high","retired",10000,NA,0,0,"Large Town","Married",1,0,2,2,2,2,2,3,1,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,2,2,1,1,1,1,2,3,1,2,1,2,2,2,3,3,3,3,3,"no","no",2,1.4,1.65,3
"United Kingdom","0.909","Very high human development",45,"Male","Yes Kids","deg","full-time",87500,"",1,0,"Village","Married",0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,"yes","yes",5,4.93333333333333,4.8,1.4
"United Kingdom","0.909","Very high human development",37.5,"Male","No Kids","deg","full-time",15000,"",6,5,"Large Town","Single",0,0,4,5,2,4,4,1,2,4,5,4,5,4,5,4,5,2,4,5,4,3,5,3,3,5,3,3,2,4,2,4,4,4,3,4,4,5,4,5,4,5,2,2,1,1,2,"yes","yes",3.8,3.8,3.8,1.6
"United Kingdom","0.909","Very high human development",67.5,"Male","Yes Kids","ltuni","retired",45000,"",0,0,"Large Town","Married",0,0,3,4,4,2,2,2,1,3,2,3,4,2,2,2,2,4,4,4,2,4,4,2,4,1,3,3,3,4,3,2,5,1,5,4,3,4,4,3,4,3,4,3,3,3,2,"yes","yes",3,2.73333333333333,3.3,3
"United Kingdom","0.909","Very high human development",45,"Male","Yes Kids","deg","full-time",250000,"",1,6,"Rural/Country","Married",1,2,3,4,4,3,3,2,2,4,4,4,2,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,"yes","yes",3.4,3.53333333333333,3.85,2.8
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","ltuni","full-time",55000,"",0,7,"Village","Single",0,0,3,2,2,2,2,3,2,5,2,2,1,3,4,1,3,4,2,5,2,3,3,1,2,5,5,3,4,3,4,3,3,3,3,4,3,4,4,2,3,3,4,4,3,4,3,"yes","yes",2.2,2.8,3.15,3.6
"United Kingdom","0.909","Very high human development",45,"Male","Yes Kids","ma","full-time",87500,"",5,7,"Village","Divorced",0,1,4,5,3,3,3,2,4,5,5,3,3,4,4,3,4,4,4,4,4,4,4,3,2,5,3,2,3,3,5,5,4,4,4,4,4,4,4,4,3,4,2,3,4,2,2,"yes","yes",3.6,3.8,3.65,2.6
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","ma","student",NA,"",4,0,"Small Town","",0,0,3,2,3,2,3,1,1,1,1,1,4,1,2,1,1,3,2,4,1,2,1,1,2,4,1,2,1,4,2,1,5,2,2,3,2,3,2,4,1,2,2,2,3,3,1,"no","no",2.6,1.73333333333333,2.2,2.2
"United Kingdom","0.909","Very high human development",28,"Male","No Kids","ma","student",10000,"",0,7,"Small Town","Married",0,0,4,4,4,3,3,2,2,3,3,2,2,5,4,3,3,3,4,4,3,1,4,2,3,5,1,2,4,4,4,1,3,3,3,3,5,4,3,4,3,4,2,2,2,1,2,"yes","yes",3.6,2.93333333333333,3.25,1.8
"United Kingdom","0.909","Very high human development",28,"Male","No Kids","deg","full-time",87500,"",5,4,"Small Town","Single",0,0,4,3,3,3,3,1,1,1,3,3,4,3,3,3,4,3,4,3,2,4,4,2,3,3,3,3,3,3,4,4,3,3,3,2,4,4,2,3,4,3,3,2,2,2,2,"yes","yes",3.2,2.8,3.15,2.2
"United Kingdom","0.909","Very high human development",32.5,"Male","No Kids","phd","full-time",55000,"Postdoctoral Researcher",2,0,"Large-City","Divorced",0,0,4,4,5,3,3,2,4,3,5,4,2,5,5,4,5,3,5,4,5,3,5,2,4,1,1,3,4,5,5,5,5,5,3,5,5,5,4,3,4,5,5,5,5,5,4,"yes","yes",3.8,3.93333333333333,3.9,4.8
"United Kingdom","0.909","Very high human development",25,"Female","No Kids","deg","full-time",25000,"",1,6,"Medium-Sized","Single",0,0,4,4,4,4,4,3,2,4,4,5,4,4,4,5,5,4,4,5,3,5,5,4,4,5,3,1,5,4,5,5,4,5,5,3,5,5,5,5,4,4,2,2,1,1,1,"yes","yes",4,4.06666666666667,4.3,1.4
"United Kingdom","0.909","Very high human development",55,"Male","Yes Kids","deg","part-time",15000,"",6,0,"Rural/Country","Divorced",0,1,3,4,4,4,4,5,1,3,4,4,3,3,5,3,4,5,3,4,1,4,4,1,3,2,1,4,4,3,4,4,3,4,5,4,5,5,3,4,5,4,2,2,2,3,2,"yes","yes",3.8,3.46666666666667,3.55,2.2
"United Kingdom","0.909","Very high human development",32.5,"Male","No Kids","ma","full-time",87500,"",12,0,"Large Town","Married",0,0,4,4,3,4,4,1,3,3,3,5,4,4,3,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,3,3,3,4,1,4,4,5,4,5,4,4,2,3,3,4,1,"yes","yes",3.8,3.4,3.7,2.6
"United Kingdom","0.909","Very high human development",45,"Male","No Kids","ma","part-time",67500,"",0,7,"Village","Single",0,0,2,3,3,2,2,1,1,4,3,5,5,4,5,5,5,1,1,1,1,1,5,2,3,3,3,1,4,4,2,4,4,2,1,1,5,5,1,4,5,4,3,4,3,2,2,"yes","no",2.4,2.86666666666667,3.3,2.8
"United Kingdom","0.909","Very high human development",37.5,"Male","No Kids","dip","full-time",55000,"",1,8,"Village","Single",0,0,3,4,3,4,4,3,3,2,3,3,4,4,3,4,4,2,4,3,4,4,2,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3,"yes","yes",3.6,3.33333333333333,3.6,3.4
"United Kingdom","0.909","Very high human development",32.5,"Female","No Kids","deg","part-time",10000,"",3,0,"Medium-Sized","Married",0,0,5,4,4,4,3,1,1,2,2,4,4,5,5,5,5,1,2,3,1,4,4,3,2,2,4,4,5,3,5,3,4,4,2,4,5,4,3,4,4,5,2,3,2,2,1,"yes","yes",4,3,3.75,2
"United Kingdom","0.909","Very high human development",37.5,"Female","No Kids","ma","part-time",25000,"",1,7,"Small Town","Single",0,0,4,3,2,2,2,1,2,5,4,4,4,2,4,3,4,2,3,4,3,3,4,2,4,5,3,3,4,4,5,3,5,5,3,3,5,3,3,5,3,5,3,3,3,3,3,"yes","no",2.6,3.2,3.75,3
"United Kingdom","0.909","Very high human development",24,"Male","No Kids","deg","student",15000,NA,0,6,"Medium-Sized","Single",0,0,4,5,4,4,4,2,2,4,3,3,3,5,5,4,5,2,3,3,2,3,5,2,4,3,3,2,5,3,5,2,3,5,2,3,5,3,3,4,5,4,2,4,3,2,4,"yes","yes",4.2,3.26666666666667,3.5,3
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","phd","student",15000,NA,3,0,"Small City","Single",0,0,5,3,3,1,1,1,1,1,1,5,5,5,5,5,3,4,1,1,1,5,5,5,1,1,5,5,3,5,5,1,1,5,1,5,5,5,5,3,5,5,4,4,4,5,5,"yes","yes",2.6,2.93333333333333,3.8,4.4
"United Kingdom","0.909","Very high human development",45,"Male","Yes Kids","deg","full-time",87500,"Engineer",8,0,"Medium-Sized","Married",1,0,3,3,2,2,2,4,1,3,2,4,4,4,5,3,3,4,2,5,1,4,4,3,4,1,4,2,5,3,5,2,3,5,4,3,5,5,4,4,4,5,2,3,2,2,2,"yes","no",2.4,3.26666666666667,3.65,2.2
"United Kingdom","0.909","Very high human development",21,"Male","No Kids","deg","unemployed",NA,NA,0,0,"Large Town","Single",0,0,4,5,4,5,5,3,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,2,3,2,4,3,"yes","yes",4.6,4.6,4.85,2.8
"United Kingdom","0.909","Very high human development",32.5,"Male","No Kids","ma","full-time",55000,"Manager",0,8,"Small Town","Married",0,0,3,4,4,4,4,2,1,5,2,4,5,3,5,3,3,3,3,5,1,4,4,4,3,5,2,4,4,4,4,2,1,5,2,4,3,4,4,4,4,4,3,3,2,3,1,"yes","yes",3.8,3.26666666666667,3.45,2.4
"United Kingdom","0.909","Very high human development",55,"Male","Yes Kids","ma","full-time",35000,"",1,0,"Village","Single",1,0,4,4,3,3,3,2,3,3,4,4,3,3,3,3,4,2,3,2,3,3,3,2,5,3,3,3,3,4,4,3,3,4,2,4,3,3,3,4,3,4,3,3,3,2,2,"yes","no",3.4,3,3.25,2.6
"United Kingdom","0.909","Very high human development",25,"Male","No Kids","deg","unemployed",10000,"",0,0,"Medium-Sized","Single",0,0,5,4,4,3,3,3,1,5,2,5,5,3,5,3,3,3,1,4,1,1,5,1,5,5,3,4,4,2,4,1,3,4,2,4,4,4,3,4,5,4,1,1,1,2,1,"yes","yes",3.8,3,3.5,1.2
"United Kingdom","0.909","Very high human development",25,"Male","No Kids","deg","full-time",25000,"",2,0,"Large Town","Single",0,0,2,3,2,3,3,1,1,2,1,1,1,3,3,1,1,4,1,3,1,2,4,4,5,3,4,5,3,3,2,1,2,2,2,2,3,4,4,3,3,3,3,3,2,1,5,"no","no",2.6,1.73333333333333,3.05,2.8
"United Kingdom","0.909","Very high human development",28,"Male","No Kids","","full-time",15000,"",5,6,"Village","Single",0,0,5,5,5,5,5,4,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.66666666666667,4.7,1
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","ma","full-time",15000,"cataloguer /  freelance artist",3,0,"Large-City","Single",0,0,4,5,5,5,5,1,3,5,4,5,4,4,4,3,4,2,4,3,4,2,5,3,3,5,5,5,5,5,5,2,5,5,1,4,5,5,3,5,5,5,2,2,2,3,3,"yes","",4.8,3.46666666666667,4.2,2.4
"United Kingdom","0.909","Very high human development",22,"Male","No Kids","ltuni","part-time",15000,NA,0,6,"Large-City","Single",0,0,4,5,4,4,4,5,5,5,5,5,2,5,5,5,5,3,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,"yes","yes",4.2,4.6,4.85,1.4
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","ma","full-time",67500,NA,3,0,"Large-City","Married",0,0,2,2,2,1,1,1,1,1,1,1,3,1,2,4,2,2,2,3,1,1,3,1,2,2,3,3,2,3,2,1,3,3,2,2,3,2,2,2,2,2,4,4,4,5,5,"no","no",1.6,1.73333333333333,2.3,4.4
"United Kingdom","0.909","Very high human development",32.5,"Male","No Kids","deg","full-time",45000,"Press Officer",4,0,"Large-City","Single",0,0,4,4,4,4,4,3,3,4,4,3,3,4,2,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,"yes","yes",4,3.4,3.25,3
"United Kingdom","0.909","Very high human development",45,"Female","Yes Kids","ma","unemployed",15000,"Journalist",0,1,"Rural/Country","Divorced",1,2,5,5,3,3,4,4,3,2,3,4,3,4,3,3,3,2,2,3,2,4,4,3,2,4,5,3,4,3,3,3,2,4,4,3,4,2,3,5,4,4,3,2,1,3,2,"yes","no",4,3,3.4,2.2
"United Kingdom","0.909","Very high human development",55,"Female","Yes Kids","deg","full-time",NA,"Software",6,0,"Large Town","Married",0,2,2,3,2,1,1,1,1,1,2,2,1,4,2,2,1,2,2,3,2,2,3,2,2,2,2,4,2,3,2,1,5,2,1,2,2,2,2,2,3,2,4,4,4,4,5,"no","no",1.8,1.86666666666667,2.3,4.2
"United Kingdom","0.909","Very high human development",24,"Male","No Kids","deg","full-time",55000,"Software",2,2,"Medium-Sized","Single",0,0,4,4,4,4,4,1,2,5,3,4,3,4,4,5,4,5,5,5,3,4,5,3,3,2,4,5,4,4,4,3,3,4,5,5,4,4,4,4,4,5,2,3,2,2,1,"yes","yes",4,3.8,4,2
"United Kingdom","0.909","Very high human development",37.5,"Female","Yes Kids","ma","unemployed",10000,"",12,0,"Village","Separated",1,0,5,5,5,5,5,3,5,2,5,5,5,5,5,5,5,3,5,4,5,5,5,2,5,5,4,3,5,5,5,5,3,5,3,4,5,3,4,5,5,3,1,1,1,2,1,"yes","yes",5,4.46666666666667,4.2,1.2
"United Kingdom","0.909","Very high human development",28,"Male","No Kids","dip","full-time",45000,"",5,0,"Medium-Sized","Married",0,0,4,4,3,3,3,2,2,5,3,4,4,3,4,3,4,4,3,4,2,2,4,2,3,4,3,3,4,3,4,2,3,4,3,3,4,3,3,4,4,5,3,2,3,3,2,"yes","yes",3.4,3.26666666666667,3.35,2.6
"United Kingdom","0.909","Very high human development",28,"Male","Yes Kids","high","full-time",55000,"",6,1,"Rural/Country","Married",1,2,3,5,3,3,3,4,3,3,2,4,5,4,5,5,5,5,3,5,2,5,5,4,3,5,4,3,4,2,5,3,4,4,5,4,5,5,5,5,5,4,4,4,5,4,2,"yes","yes",3.4,4,4.25,3.8
"United Kingdom","0.909","Very high human development",20,"Male","No Kids","deg","student",NA,"",2,0,"Medium-Sized","Single",0,0,4,3,3,3,3,5,4,5,5,5,2,5,5,5,5,4,4,4,2,4,5,3,4,5,4,4,5,4,5,2,5,5,3,4,5,4,3,5,5,5,2,2,2,2,2,"yes","yes",3.2,4.26666666666667,4.25,2
"United Kingdom","0.909","Very high human development",21,"Male","No Kids","ltuni","full-time",25000,"IT",0,7,"Large Town","Single",0,0,1,4,2,2,2,1,1,2,2,3,4,3,4,2,1,2,2,4,1,2,4,4,5,1,2,2,4,4,4,2,4,4,2,5,4,1,3,5,5,5,1,2,1,1,1,"yes","yes",2.2,2.26666666666667,3.4,1.2
"United Kingdom","0.909","Very high human development",45,"Female","No Kids","ma","full-time",150000,"",0,0,"Village","Single",0,0,5,4,3,2,2,1,3,5,3,4,4,2,5,3,5,4,4,4,3,3,4,3,3,5,3,3,5,3,5,4,4,5,5,4,5,5,5,5,4,5,2,3,2,4,3,"yes","no",3.2,3.53333333333333,4.15,2.8
"United Kingdom","0.909","Very high human development",24,"Female","No Kids","deg","student",NA,"",0,0,"Medium-Sized","Single",0,0,5,5,4,5,5,3,4,3,5,5,5,5,5,5,5,4,5,3,5,5,5,3,4,1,4,4,5,5,5,4,5,5,3,3,1,5,5,5,5,5,2,3,1,1,1,"yes","yes",4.8,4.46666666666667,4.1,1.6
"United Kingdom","0.909","Very high human development",45,"Male","Yes Kids","ma","full-time",55000,"",3,0,"Village","Married",0,1,3,3,3,3,3,2,4,2,5,4,2,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,5,4,3,3,5,3,5,2,3,3,3,2,"yes","yes",3,3.8,3.95,2.6
"United Kingdom","0.909","Very high human development",23,"Female","No Kids","deg","student",10000,NA,17,0,"Medium-Sized","Single",0,0,4,2,2,2,2,3,1,3,2,2,5,2,4,3,4,2,3,5,1,4,4,1,2,5,5,2,4,2,4,4,3,4,2,2,4,4,2,4,5,3,2,3,3,4,3,"yes","yes",2.4,2.93333333333333,3.25,3
"United Kingdom","0.909","Very high human development",37.5,"Male","No Kids","phd","full-time",87500,"",0,5,"Large Town","Married",0,0,3,4,2,2,2,2,1,1,1,4,1,2,3,4,3,2,2,4,1,1,3,1,5,4,3,2,4,2,4,2,2,3,3,4,4,4,4,2,4,1,3,3,4,4,4,"yes","no",2.6,2.13333333333333,3.1,3.6
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","ma","full-time",67500,NA,0,4,"Large-City","Married",0,0,4,4,3,2,2,2,3,3,4,2,4,4,2,2,3,2,4,2,3,4,4,2,3,5,2,2,4,2,4,3,2,4,4,2,3,2,3,3,3,2,3,3,3,4,3,"yes","yes",3,2.93333333333333,2.85,3.2
"United Kingdom","0.909","Very high human development",45,"Male","Yes Kids","dip","full-time",NA,NA,5,0,"Small City","Married",1,1,5,5,3,4,4,1,1,1,3,3,4,2,4,3,4,3,3,3,2,1,5,2,1,2,3,4,5,5,5,1,2,5,2,4,5,4,3,5,5,5,2,2,2,3,1,"yes","yes",4.2,2.53333333333333,3.55,2
"United Kingdom","0.909","Very high human development",22,"Female","No Kids","ma","student",10000,NA,0,7,"Medium-Sized","Single",0,0,2,3,1,1,1,1,1,5,2,2,1,1,1,2,4,2,2,4,1,1,2,2,2,5,4,3,2,1,3,1,2,3,2,3,3,4,2,4,2,3,5,5,5,3,4,"yes","no",1.6,2,2.6,4.4
"United Kingdom","0.909","Very high human development",32.5,"Female","No Kids","phd","full-time",45000,"Academic",2,0,"Medium-Sized","Single",0,0,2,3,4,2,2,1,1,2,2,4,1,1,3,2,2,2,2,2,1,1,2,2,2,4,3,2,3,3,4,1,4,4,2,2,2,4,4,4,2,3,4,3,3,2,3,"yes","no",2.6,1.8,2.75,3
"United Kingdom","0.909","Very high human development",45,"Male","No Kids","ma","full-time",55000,"Manager",0,0,"Small City","Married",0,0,4,4,4,3,4,2,1,2,2,2,4,1,3,1,2,1,2,3,1,2,4,1,2,2,4,3,5,2,5,1,5,3,4,4,3,3,3,4,5,1,4,4,3,3,4,"yes","no",3.8,1.93333333333333,3.1,3.6
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","ma","student",25000,NA,1,9,"Large-City","Single",0,0,5,5,5,5,5,1,1,1,2,4,5,5,4,4,5,4,4,4,4,4,4,4,3,4,5,2,5,4,5,2,4,5,3,4,4,5,4,5,5,5,3,3,3,4,3,"yes","yes",5,3.46666666666667,4.05,3.2
"United Kingdom","0.909","Very high human development",20,"Female","No Kids","deg","student",15000,"Student",2,0,"Small Town","Single",0,0,3,3,3,2,2,2,2,2,3,2,2,3,3,1,3,3,2,3,2,3,3,1,2,3,3,4,2,3,4,3,3,3,2,2,3,4,4,3,3,4,4,4,4,4,4,"yes","no",2.6,2.4,2.85,4
"United Kingdom","0.909","Very high human development",32.5,"Male","No Kids","ltuni","full-time",35000,"airline",6,0,"Large-City","Single",0,0,2,4,3,2,2,1,1,2,1,4,1,2,2,2,1,2,2,4,2,3,3,1,1,1,3,3,4,2,4,3,4,3,1,4,4,4,4,3,4,4,3,5,1,5,5,"yes","no",2.6,2,2.95,3.8
"United Kingdom","0.909","Very high human development",55,"Male","No Kids","deg","part-time",87500,"",6,0,"Village","Single",0,0,3,3,2,1,1,1,1,3,2,3,5,3,3,3,2,1,1,1,1,3,3,1,3,1,1,1,3,2,4,1,4,3,3,1,4,5,3,3,3,5,4,4,4,4,3,"yes","yes",2,2.2,2.7,3.8
"United Kingdom","0.909","Very high human development",45,"Male","Yes Kids","ma","full-time",87500,"",0,0,"8","Married",0,2,5,5,5,5,5,1,1,1,2,4,4,3,3,3,3,3,2,1,2,4,4,3,3,3,4,4,5,5,5,1,3,4,3,4,4,5,5,4,4,3,1,1,1,3,1,"yes","yes",5,2.46666666666667,3.75,1.4
"United Kingdom","0.909","Very high human development",45,"Female","Yes Kids","ltuni","full-time",25000,"IT",8,3,"Small Town","Married",0,2,4,4,4,2,2,1,1,2,3,3,1,1,1,2,4,5,1,3,1,3,4,1,3,3,2,3,4,5,4,4,3,4,4,4,2,4,3,5,3,5,3,3,3,5,3,"yes","no",3.2,2.13333333333333,3.4,3.4
"United Kingdom","0.909","Very high human development",25,"Male","No Kids","ma","full-time",10000,"",2,0,"Village","Single",0,0,4,5,4,5,4,2,5,3,4,4,1,3,4,4,4,3,4,3,4,4,4,3,2,2,5,3,3,4,3,4,4,4,2,4,4,3,3,5,5,4,2,1,1,1,2,"yes","no",4.4,3.46666666666667,3.55,1.4
"United Kingdom","0.909","Very high human development",67.5,"Female","Yes Kids","ma","student",55000,"",5,0,"Village","Divorced",0,1,3,3,3,2,2,1,1,4,3,2,2,2,3,1,3,1,4,1,3,1,3,2,1,4,2,1,3,3,3,2,3,2,1,3,4,3,2,2,3,3,3,4,4,3,2,"yes","yes",2.6,2.13333333333333,2.45,3.2
"United Kingdom","0.909","Very high human development",32.5,"Male","No Kids","deg","full-time",67500,"",1,0,"Medium-Sized","Single",0,0,4,4,1,3,3,1,1,5,4,3,5,1,2,1,2,2,1,1,2,3,4,1,1,2,1,1,3,1,3,1,1,4,1,1,3,1,1,4,1,1,3,5,3,2,5,"yes","no",3,2.26666666666667,1.65,3.6
"United Kingdom","0.909","Very high human development",55,"Male","Yes Kids","ltuni","part-time",55000,"",0,0,"8","Divorced",0,2,5,4,4,2,2,1,1,1,2,3,2,1,3,2,4,2,1,5,1,2,4,3,2,4,3,2,4,3,4,1,4,4,1,4,3,2,2,4,3,3,4,3,4,3,4,"yes","no",3.4,2.06666666666667,2.9,3.6
"United Kingdom","0.909","Very high human development",32.5,"Female","Yes Kids","deg","unemployed",10000,"",1,2,"Village","Married",1,0,3,3,3,2,3,2,2,3,2,2,2,2,5,2,3,3,3,3,3,2,4,2,2,3,4,4,4,4,3,3,2,3,2,2,4,2,2,3,3,3,4,4,4,4,4,"yes","yes",2.8,2.6,2.9,4
"United Kingdom","0.909","Very high human development",28,"Female","No Kids","phd","full-time",67500,"college professor",3,0,"Small City","Single",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,5,5,5,5,5,"no","no",1,1,1.25,5
"United Kingdom","0.909","Very high human development",21,"Male","No Kids","deg","part-time",15000,"",3,6,"Village","Single",0,0,4,1,4,3,3,1,1,3,2,2,1,2,2,3,2,4,1,3,1,4,4,3,2,5,4,1,4,4,4,1,2,4,1,1,4,2,2,3,2,4,2,3,1,1,2,"yes","no",3,2.13333333333333,2.8,1.8
"United Kingdom","0.909","Very high human development",32.5,"Female","No Kids","ma","student",10000,"Student",2,6,"Small City","Married",0,0,5,4,4,4,4,2,5,4,5,5,5,5,4,5,5,2,5,3,5,5,5,1,2,5,5,2,4,4,5,5,5,5,2,2,3,4,4,5,5,5,3,4,3,4,2,"yes","yes",4.2,4.33333333333333,3.9,3.2
"United Kingdom","0.909","Very high human development",55,"Male","Yes Kids","ma","full-time",55000,"",10,0,"Small Town","Separated",0,1,4,5,3,3,4,3,4,4,4,4,2,4,3,4,4,5,4,4,4,5,3,3,4,2,2,3,4,4,3,3,4,4,4,3,4,4,4,5,3,3,1,1,1,2,1,"yes","yes",3.8,3.86666666666667,3.45,1.2
